Week,Day,Exercise,Target,Set1_Weight,Set1_Reps,Set2_Weight,Set2_Reps,Set3_Weight,Set3_Reps,Set4_Weight,Set4_Reps,Notes
"Week 1 - Light",Day 1,"Incline DB Press","3x20-25",,,,,,,,,
"Week 1 - Light",Day 1,"Pull-ups","3x20-25 (assisted)",,,,,,,,,
"Week 1 - Light",Day 1,"Leg Press","3x20-25",,,,,,,,,
"Week 1 - Light",Day 1,"Cable Curl","2x20-25",,,,,,,,,
"Week 1 - Light",Day 1,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 1,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 1,"Hanging Leg Raise","2-3x10-15",,,,,,,,,
"Week 1 - Light",Day 2,"Cable Row","3x20-25",,,,,,,,,
"Week 1 - Light",Day 2,"DB Shoulder Press","3x20-25",,,,,,,,,
"Week 1 - Light",Day 2,"Hip Thrusts","3x20-25",,,,,,,,,
"Week 1 - Light",Day 2,"Rope Pushdowns","2x20-25",,,,,,,,,
"Week 1 - Light",Day 2,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 2,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 2,"Cable Reverse Crunch","2-3x12-15",,,,,,,,,
"Week 1 - Light",Day 3,"Cable Flies","2x20-25",,,,,,,,,
"Week 1 - Light",Day 3,"Weighted Step Ups","3x20-25/leg",,,,,,,,,
"Week 1 - Light",Day 3,"Hammer Curl","2x20-25",,,,,,,,,
"Week 1 - Light",Day 3,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 3,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 3,"Hanging Leg Raise","2-3x10-15",,,,,,,,,
"Week 1 - Light",Day 4,"DB Lateral Raise","2x20-25",,,,,,,,,
"Week 1 - Light",Day 4,"Leg Extensions","3x20-25",,,,,,,,,
"Week 1 - Light",Day 4,"Cable Overhead Extension","2x20-25",,,,,,,,,
"Week 1 - Light",Day 4,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 4,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 4,"Cable Reverse Crunch","2-3x12-15",,,,,,,,,
"Week 1 - Light",Day 5,"Face Pulls","2x20-25",,,,,,,,,
"Week 1 - Light",Day 5,"Lying Leg Curl","2x20-25",,,,,,,,,
"Week 1 - Light",Day 5,"Standing Calf Raise","3x20-25",,,,,,,,,
"Week 1 - Light",Day 5,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 5,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 1 - Light",Day 5,"Hanging Leg Raise","2-3x10-15",,,,,,,,,
"Week 2 - Middle",Day 1,"Incline DB Press","4x10-14",,,,,,,,,
"Week 2 - Middle",Day 1,"Pull-ups","4x10-14",,,,,,,,,
"Week 2 - Middle",Day 1,"Leg Press","4x10-14",,,,,,,,,
"Week 2 - Middle",Day 1,"Cable Curl","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 1,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 1,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 1,"Hanging Leg Raise","2-3x10-15",,,,,,,,,
"Week 2 - Middle",Day 2,"Cable Row","4x10-14",,,,,,,,,
